id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
ChZDSUhNMG9nS0VJQ0FnSUNpb29yNUtBEAE,"Good JB Hi-Fi, but does feel somewhat camped and is hard to find.",50 minutes ago,2020-10-26 23:03:47.391974,4.0,Eee P,11,0,https://www.google.com/maps/contrib/113193528759848663955/reviews?hl=en-AU
ChdDSUhNMG9nS0VJQ0FnSUNpd29qcW1RRRAB,,10 hours ago,2020-10-26 23:03:47.391974,5.0,Kirino Ikezawa,5,0,https://www.google.com/maps/contrib/100423000299790373596/reviews?hl=en-AU
ChZDSUhNMG9nS0VJQ0FnSUNpckpfVWNBEAE,,2 days ago,2020-10-26 23:03:47.392974,5.0,Jessica Hodder,0,0,https://www.google.com/maps/contrib/101113187273964510217/reviews?hl=en-AU
ChZDSUhNMG9nS0VJQ0FnSURDcjdXNWJBEAE,I shop here frequently. Great customer service that doesn't feel pushy or forced. Up to date products as far as I can tell.,a week ago,2020-10-26 23:03:47.392974,5.0,Yanakai zzz,9,0,https://www.google.com/maps/contrib/117184277262254157677/reviews?hl=en-AU
ChdDSUhNMG9nS0VJQ0FnSURDcl9EaGdRRRAB,"The young lady that helped me went above and beyond, had the time of day for me and didn't rush me on my purchase! Thank you",a week ago,2020-10-26 23:03:47.393974,5.0,A L,3,0,https://www.google.com/maps/contrib/110200227153603064654/reviews?hl=en-AU
ChZDSUhNMG9nS0VJQ0FnSURDcjhDRE5nEAE,,a week ago,2020-10-26 23:03:47.393974,5.0,Khessa Dangate,4,0,https://www.google.com/maps/contrib/106894262415213156959/reviews?hl=en-AU
ChdDSUhNMG9nS0VJQ0FnSURDbDhXM2d3RRAB,,a week ago,2020-10-26 23:03:47.394974,5.0,Mehdi Rez,0,0,https://www.google.com/maps/contrib/114221244906373660383/reviews?hl=en-AU
ChdDSUhNMG9nS0VJQ0FnSURDMjVDN253RRAB,"Friendly staff, well stocked. Being downstairs not sure if there is lift access.",a week ago,2020-10-26 23:03:47.394974,5.0,Peter Jones,3,0,https://www.google.com/maps/contrib/107206369396216013370/reviews?hl=en-AU
ChdDSUhNMG9nS0VJQ0FnSURDazRhSTFnRRAB,,2 weeks ago,2020-10-26 23:03:47.394974,4.0,Ryan Bennett,0,0,https://www.google.com/maps/contrib/110224072683127726155/reviews?hl=en-AU
ChdDSUhNMG9nS0VJQ0FnSURDNDRDZWlRRRAB,The girl at the point of sale was bright and cheerful,2 weeks ago,2020-10-26 23:03:47.395974,4.0,J J,0,0,https://www.google.com/maps/contrib/117552724684928176824/reviews?hl=en-AU
ChdDSUhNMG9nS0VJQ0FnSUMweTdEUzR3RRAB,"The staff is very friendly and helpful, especially Will, who tries to understand what you need and find it for you. He offered me many options and he was  incredibly patient. I will come back. Recommended.",2 weeks ago,2020-10-26 23:03:47.395974,5.0,Nancy Ramirez,56,0,https://www.google.com/maps/contrib/102744085552042839702/reviews?hl=en-AU
ChdDSUhNMG9nS0VJQ0FnSURDNmRDUzhRRRAB,,3 weeks ago,2020-10-26 23:03:47.396975,5.0,NeiloAquaterra,0,0,https://www.google.com/maps/contrib/111551378149955338391/reviews?hl=en-AU
ChZDSUhNMG9nS0VJQ0FnSURDb2NtRVZ3EAE,,3 weeks ago,2020-10-26 23:03:47.396975,3.0,Rally Canzon,1,0,https://www.google.com/maps/contrib/109513650690099047544/reviews?hl=en-AU
ChdDSUhNMG9nS0VJQ0FnSURDb1l6NHdnRRAB,"Small door and you have to walk down a steep set of stairs. Spread over a few levels, it has enough. Some choice music and range for all ranges. Thanks guys, I found some CDs I've been meaning to replace!",3 weeks ago,2020-10-26 23:03:47.396975,5.0,Neil Honda,0,0,https://www.google.com/maps/contrib/108573166654508846163/reviews?hl=en-AU
ChZDSUhNMG9nS0VJQ0FnSURDdnAtM2J3EAE,,3 weeks ago,2020-10-26 23:03:47.397976,5.0,Lachlan Mahaffey,3,0,https://www.google.com/maps/contrib/112413416716605556911/reviews?hl=en-AU
ChZDSUhNMG9nS0VJQ0FnSURDdnZlc2JnEAE,,3 weeks ago,2020-10-26 23:03:47.397976,3.0,lhaastdaiz,1,0,https://www.google.com/maps/contrib/106309571468823788211/reviews?hl=en-AU
ChZDSUhNMG9nS0VJQ0FnSURDbnJiWVJ3EAE,"Even though there was a deal expiring to say,  Coen wasn't pushy with the promotion. I came back later and he was great at setting up my phone with this new plan.",4 weeks ago,2020-10-26 23:03:47.398974,5.0,Brendan Fugate,3,0,https://www.google.com/maps/contrib/113516997717581291941/reviews?hl=en-AU
ChZDSUhNMG9nS0VJQ0FnSURDN3RpaERREAE,,4 weeks ago,2020-10-26 23:03:47.398974,3.0,Dan Van Dijk,2,0,https://www.google.com/maps/contrib/116697082562004665431/reviews?hl=en-AU
ChdDSUhNMG9nS0VJQ0FnSURDLXBleG5BRRAB,,a month ago,2020-10-26 23:03:47.399974,5.0,Christopher Kendall,21,0,https://www.google.com/maps/contrib/107910336303476307276/reviews?hl=en-AU
ChZDSUhNMG9nS0VJQ0FnSURDMnBLbEN3EAE,Cool stuff,a month ago,2020-10-26 23:03:47.399974,4.0,LR D,0,0,https://www.google.com/maps/contrib/115391402291346602169/reviews?hl=en-AU
ChZDSUhNMG9nS0VJQ0FnSURDNHRTQ1NnEAE,Good service and got exactly what I wanted,a month ago,2020-10-26 23:03:53.572001,5.0,Clinton Wade,0,0,https://www.google.com/maps/contrib/100284133193175552002/reviews?hl=en-AU
ChdDSUhNMG9nS0VJQ0FnSURDb3Z6LTN3RRAB,Great store.came up from the gold coast to pickup item.Asian lady at checkout was very uninterested and rude.but sorted by another employee..,a month ago,2020-10-26 23:03:53.573001,4.0,Aaron Carney,10,0,https://www.google.com/maps/contrib/106159824043017121166/reviews?hl=en-AU
